,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6.620902252197266,0.04547929763793945,0.6056735897774304,0.604100474351284,0.001,"(100, 100)",2,"{'gmm__n_components': 2, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",15,0.6025765807584579,0.6089150872247072,0.551632549896833,0.5489024772068913,0.5474520774945782,0.5499477733318571,0.6137666404182563,0.6061177535670361,0.7129697481116716,0.706619280425928,0.16582434169234553,0.0034326326298533784,0.05982741432066307,0.05747467168758344
1,7.854804039001465,0.04787149429321289,0.6188576104459206,0.619683457933836,0.001,"(100, 100)",3,"{'gmm__n_components': 3, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",14,0.617856684333017,0.6238687869580993,0.602492838209673,0.6089360371793827,0.6056964066405068,0.6081350242867789,0.6822244969457353,0.6745098676379386,0.5860254716165162,0.5829675736069804,0.21807498416963514,0.0028909745761816034,0.03327039738205743,0.030398624029913713
2,8.878866577148438,0.05984063148498535,0.6577765930199249,0.6588862969271159,0.001,"(100, 100)",4,"{'gmm__n_components': 4, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",12,0.7119981443538528,0.7167810515122895,0.602492838209673,0.6089360371793827,0.6056964066405068,0.6081350242867789,0.6137666404182563,0.6061177535670361,0.754942593249079,0.7544616180900926,0.5731860556141832,0.008626493272894544,0.06338117130454232,0.06378351497951187
3,11.154583549499511,0.055451822280883786,0.6706777780842249,0.6695446198148075,0.001,"(100, 100)",5,"{'gmm__n_components': 5, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",9,0.6799248868158448,0.6881108955210246,0.602492838209673,0.6089360371793827,0.6691818547088962,0.6676475397307612,0.7880971585616001,0.7768961398866738,0.6137076838019333,0.6061324867561954,1.844748890395026,0.0023258088190787696,0.06598135520241721,0.06255741886667499
4,13.000051498413086,0.06382784843444825,0.667184986291082,0.6691953986619898,0.001,"(100, 100)",6,"{'gmm__n_components': 6, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",10,0.6512172062653847,0.6630519413777796,0.654804479172646,0.6627225798334124,0.6056964066405068,0.6081350242867789,0.7324848389593089,0.7246159511498408,0.691745088792479,0.6874514966621373,1.22045624835088,0.01154592030660394,0.04255829396767285,0.03798086761010351
5,13.698982286453248,0.0634305477142334,0.6666336996856804,0.6664816669554983,0.001,"(100, 100)",7,"{'gmm__n_components': 7, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",11,0.6406415206094017,0.6495569288278293,0.7079013451770809,0.7146447498763502,0.6627840071696931,0.663481892174943,0.6122586688941632,0.6052639609219664,0.7095800201159975,0.6994608029764023,1.7461873611558836,0.007371652203798998,0.03793143360801358,0.03860144792765757
6,14.783084821701049,0.07021307945251465,0.6960622180550425,0.6969796256106902,0.001,"(100, 100)",8,"{'gmm__n_components': 8, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",7,0.6789819512623912,0.6911480538757598,0.7327113230740393,0.7371403682847747,0.5784368205449866,0.5811396511843815,0.7275753827966397,0.7169100577238118,0.762630813460503,0.7585599969847229,2.2264356594941463,0.006542402681900167,0.06464648145215447,0.06205667799504105
7,15.780617809295654,0.07081112861633301,0.6917018504628999,0.6924039527541654,0.001,"(100, 100)",9,"{'gmm__n_components': 9, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",8,0.7496843016828094,0.7541653268490233,0.6705597939822383,0.6791731308588256,0.6957843945483047,0.6988792155629681,0.7049576133140965,0.6999474098812961,0.6375126314550472,0.6298546806187136,3.0371477542143803,0.0038878557647766213,0.037249747542677875,0.04000191544578311
8,16.830411624908447,0.07460074424743653,0.640606466993882,0.6372485646398427,0.001,"(100, 100)",10,"{'gmm__n_components': 10, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",13,0.6154684965800042,0.6177089845523165,0.6471010658873618,0.6510836838615262,0.673952060441046,0.6684965502956925,0.6146909067603887,0.6073885279649949,0.6518160267804535,0.6415650765246829,1.2307412675435379,0.004432993075831482,0.022730407485479758,0.02218060588215961
9,25.884410572052,0.10472092628479004,0.7240153531877926,0.7234831787057183,0.001,"(100, 100)",15,"{'gmm__n_components': 15, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",5,0.7687198564952191,0.7789993268451055,0.6796890489425286,0.682660682901954,0.7788110415937038,0.7794372779766363,0.7216474684271713,0.7149704008713138,0.6711951706069224,0.6613482049335826,1.9825677462445097,0.0205363163009076,0.04418539322479514,0.04860576600615283
10,33.6847599029541,0.11648931503295898,0.7051381048876206,0.7039913593445348,0.001,"(100, 100)",20,"{'gmm__n_components': 20, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",6,0.7045640520967388,0.7098175362094007,0.7078235644322657,0.7157561116010414,0.704412650005227,0.7035560654157959,0.7615992460766626,0.7496001661626407,0.6472906556329475,0.6412269173337959,3.597777175484947,0.0076575070607792966,0.03616973531477932,0.035191139946335305
11,45.2312952041626,0.14381709098815917,0.7616164141199506,0.7631323939698552,0.001,"(100, 100)",25,"{'gmm__n_components': 25, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",2,0.7746833242242516,0.780598050217102,0.7581100637746649,0.7728028425162002,0.7565748992524453,0.7570511289321231,0.7761882688679727,0.7672095793427931,0.7425243530707832,0.7380003688410572,4.46119338872544,0.015950220057131904,0.012531829392582844,0.014722707871403774
12,54.16561255455017,0.17513375282287597,0.7390962833990862,0.7374682646413498,0.001,"(100, 100)",30,"{'gmm__n_components': 30, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",4,0.7542497957042292,0.7623323160687157,0.7412116077155171,0.7509514547164866,0.7054636605864586,0.6996127586801503,0.7690329124270213,0.7550397007665016,0.725527646109928,0.7194050929748951,10.771222905524851,0.01605136615776353,0.022115787542835993,0.0239503249986946
13,70.78538956642151,0.20046491622924806,0.75539745147952,0.7559541129978231,0.001,"(100, 100)",35,"{'gmm__n_components': 35, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",3,0.7549998045082884,0.7640867209202018,0.6983555264952275,0.7032569629909039,0.7633979066026565,0.7679809205113647,0.7784432900816036,0.765931425350382,0.7818034357280286,0.7785145352162631,9.307961384356224,0.01656882955522944,0.03015455169119065,0.02681899491738446
14,66.85652446746826,0.1867076873779297,0.7695278879467835,0.7706265701041064,0.001,"(100, 100)",40,"{'gmm__n_components': 40, 'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001}",1,0.7717061656976655,0.7783438671647018,0.7470510560573177,0.7565452182972275,0.7736506149947412,0.7737457855009984,0.7852163302058814,0.77446489934465,0.7700194300199182,0.7700330802129547,12.131976627385349,0.05335844465053917,0.012436516845653294,0.007518718626634258
